text,label
"Scientists discover a new species of deep-sea jellyfish in the Marianas Trench.",REAL
"Aliens have officially landed in New York City and are demanding pizza.",FAKE
"The stock market experienced a slight drop today amid inflation concerns.",REAL
"Drinking motor oil will cure the common cold and grant you immortality.",FAKE
"A new study shows that regular exercise can improve cardiovascular health.",REAL
"Local man finds a literal pot of gold at the end of a rainbow.",FAKE
"The mayor announced a new plan to fix potholes in the city.",REAL
"Eating five pounds of sugar a day is the secret to weight loss.",FAKE
"NASA launches a new probe to study the atmosphere of Jupiter.",REAL
"The moon is actually made entirely of cheese, experts confirm.",FAKE
